Periodical,Location,Ethnic Periodical,lon,lat
New York Independent,"New York, NY",,-73.9808,40.7648
Cincinnati Enquirer,"Cincinnati, OH",,-84.5125,39.1015
Hobart Mercury,"Hobart, Tazmania",,147.3281,-42.8825
Boston Journal,"Boston, MA",,-71.0596,42.3605
New York Sun,"New York, NY",,-73.9808,40.7648
Chicago Times,"Chicago, IL",,-87.6244,41.8756
Texas Siftings,"Austin, TX",,-97.7437,30.2711
Puck,"New York, NY",,-73.9808,40.7648
Lewistown,"Lewistown, MT",,-109.4282,47.0625
Philadelphia Call,"Philadelphia, PA",,-75.1327,40.0115
Boston Transcript,"Boston, MA",,-71.0596,42.3605
Chicago Herald,"Chicago, IL",,-87.6244,41.8756
New York Tribune,"Manhattan, NY",,-73.9597,40.7903
New York Herald,"New York, NY",,-73.9808,40.7648
Philadelphia Press,"Philadelphia, PA",,-75.1327,40.0115
Philadelphia North American,"Philadelphia, PA",,-75.1327,40.0115
St. Louis Republican,"St. Louis, MO",,-90.19,38.63
Troy Times,"Troy, NY",,-73.6918,42.7284
Boston Globe,"Boston, MA",,-71.0596,42.3605
Boston Post,"Boston, MA",,-71.0596,42.3605
Chicago Tribune,"Chicago, IL",,-87.6244,41.8756
Whitehall Times,"Whitehall, NY",,-73.7988,42.6468
Chicago Sun,"Chicago, IL",,-87.6244,41.8756
N.O. Picayune,"New Orleans, LA",,-90.0701,29.9499
Norristown,"Norristown, PA",,-75.3399,40.1215
Brooklyn Eagle,"Brooklyn, NY",,-73.9496,40.6501
Kentucky State Journal,"Newport, KY",,-84.492,39.0889
Commercial Gazette,"Cincinnati, OH",,-84.5125,39.1015
Boston Beacon,"Boston, MA",,-71.0596,42.3605
London Telegraph,"London, England",,-0.1275,51.50722
Boston Herald,"Boston, MA",,-71.0596,42.3605
