"City","State","First Name","Last Name ","Publication Date","Agent"
"Dayton"," Ohio","T","Jefferson","12-27-1843","local"
"Springfield"," Ohio","Wm","Piles","12-27-1843","local"
"Urbana"," Ohio","L","Adams","12-27-1843","local"
"Chillicothe"," Ohio","R  W","Chancellor","12-27-1843","local"
"Hillsboro"," Ohio","J","Tailor","12-27-1843","local"
"Steubenville"," Ohio","Wm","Ferris","12-27-1843","local"
"Newark"," Ohio","W","Jenkins","12-27-1843","local"
"Cleveland"," Ohio","J","Malvin","12-27-1843","local"
"Dublin"," Ohio","S","WhiteJr","12-27-1843","local"
"Xenia"," Ohio","W","Roberts","12-27-1843","local"
"Logan county"," Ohio","R","Antis","12-27-1843","local"
"Mt. Vernon"," Ohio","O","Martin","12-27-1843","local"
"Trenton"," Ohio","Jas","Simpson","12-27-1843","local"
"Mt. Pleasant"," Ohio","Elijah ","Sawyer","12-27-1843","local"
"Warren"," Ohio","A","Moore","12-27-1843","local"
"Gallipolis"," Ohio","H","Bell","12-27-1843","local"
"Jackson"," Ohio","N ","Nukes","12-27-1843","local"
"Lebanon"," Ohio","T","Benford","12-27-1843","local"
"Massillon"," Ohio","Jas","Thompson","12-27-1843","local"
"Barnesville"," Ohio","A","Harper","12-27-1843","local"
"Oberlin"," Ohio","A","Jones","12-27-1843","local"
"Lower Sandusky"," Ohio","A","Winfield","12-27-1843","local"
"Lockbourne"," Ohio","E C","Tyner","12-27-1843","local"
"Morgan county"," Ohio","Lloyd E","Guy","12-27-1843","local"
"Putnam"," Ohio","J","Thomas","12-27-1843","local"
"New York City"," Ohio","Chris B","Ray","12-27-1843","local"
"Troy","New York","H H","Garnett","12-27-1843","local"
"Utica","New York","T","Woodson","12-27-1843","local"
"Geneva","New York","J W","Duffin","12-27-1843","local"
"Rochester","New York","James","Sharp","12-27-1843","local"
"Batavia","New York","Wm","Johnson","12-27-1843","local"
"Brockport","New York","A","Peck","12-27-1843","local"
"Lockport","New York","A","Outley","12-27-1843","local"
"Buffalo","New York","W W","Brown","12-27-1843","local"
"Boston","Massachusetts","J T","Hilton","12-27-1843","local"
"Pittsburgh","Pennsylvania","J  B","Vashon","12-27-1843","local"
"Madison","Iowa","A ","Duncan","12-27-1843","local"
"Indianapolis","Indiana","J G","Bretton","12-27-1843","local"
"Detroit","Michigan","R","Banks","12-27-1843","local"
"Cincinnati"," Ohio","Rev C","Satchel","12-27-1843","traveling"
"Springfield"," Ohio","Rev T","Roberts","12-27-1843","traveling"
"Zanesville"," Ohio","Rev Geo","Coleman","12-27-1843","traveling"
"Sardinia"," Ohio","Rev E","Cumberland","12-27-1843","traveling"
"Xenia"," Ohio","Rev D","Winslow","12-27-1843","traveling"
"Logan county"," Ohio","Rev M T","Nusum ","12-27-1843","traveling"
"Hamilton"," Ohio","Rev W M","Yancy","12-27-1843","traveling"
"Massillon"," Ohio","Rev J","Thomas","12-27-1843","traveling"
"Columbus"," Ohio","Rev W","Shelton","12-27-1843","traveling"
"Mt. Pleasant"," Ohio","Rev W M","Numan","12-27-1843","traveling"
"Jackson county"," Ohio","Rev T","Woodson","12-27-1843","local"
"Springfield"," Ohio","R","Piles","12-27-1843","local"
"Urbana"," Ohio","A","Kane","12-27-1843","local"
"Chillicothe"," Ohio","U","Moody","12-27-1843","local"
"Hillsboro"," Ohio","N","Tailor","12-27-1843","local"
"Newark"," Ohio","H","Robinson","12-27-1843","local"
"Cleveland"," Ohio","J L","Watson","12-27-1843","local"
"Gallipolis"," Ohio","J ","Gee","12-27-1843","local"
"Oberlin"," Ohio","Wm","Numan","12-27-1843","local"
"New York City"," Ohio","T  S","Wright","12-27-1843","local"
"Utica","New York","James ","Fontain","12-27-1843","local"
"Buffalo","New York","A H","Francis","12-27-1843","local"
"Detroit","Michigan","W C","Monroe","12-27-1843","local"
"Cincinnati"," Ohio","Rev M M","Clark","12-27-1843","traveling"
"Sardinia"," Ohio","Rev","Fox","12-27-1843","traveling"
"Columbus"," Ohio","Rev T","Lawrance","12-27-1843","traveling"
"Cincinnati","Ohio"," W W ","Watson","02-14-1844","local"
"Hamilton,  Butler co","Ohio"," J ","Simpson","02-14-1844","local"
"Dayton","Ohio"," T ","Jefferson","02-14-1844","local"
"Spring field","Ohio"," W ","Piles","02-14-1844","local"
"Urbana","Ohio"," L ","Adams","02-14-1844","local"
"Chillicothe","Ohio","W","Chanceller","02-14-1844","local"
"U Moody","Ohio","CH","Langston","02-14-1844","local"
"Circleville","Ohio","W","Scott","02-14-1844","local"
"Lancaster","Ohio","S","Smith","02-14-1844","local"
"Zanesville","Ohio","B","Messer","02-14-1844","local"
"Hillsboro","Ohio","J","Tailor","02-14-1844","local"
"Steubenville","Ohio","W","Ferris","02-14-1844","local"
"Newark","Ohio","W","Jenkins","02-14-1844","local"
"Cleveland","Ohio","J","Malvin","02-14-1844","local"
"Dublin","Ohio","S","Whitejr","02-14-1844","local"
"Xenia","Ohio","W","Roberts","02-14-1844","local"
"Logan County","Ohio","K","Artis","02-14-1844","local"
"Mt Vernon","Ohio","O","Martin","02-14-1844","local"
"Trenton Jefferson co","Ohio","J","Simpson","02-14-1844","local"
"Me Pleasant","Ohio","Elijah","Sawyer","02-14-1844","local"
"Warren","Ohio","A","Moore","02-14-1844","local"
"Gallipolis","Ohio","H","Bell","02-14-1844","local"
"Jackson","Ohio","N","Nukes","02-14-1844","local"
"Lebanon","Ohio","T","Benford","02-14-1844","local"
"Massillon","Ohio","B","Thompson","02-14-1844","local"
"Barnesville","Ohio","A","Harper","02-14-1844","local"
"Oberlin","Ohio","A","Jones","02-14-1844","local"
"Lower Sandusky","Ohio","A","Winfield","02-14-1844","local"
"Lockbourne","Ohio","E C","Tyner","02-14-1844","local"
"Morgan county","Ohio","Lloyd E","Guy","02-14-1844","local"
"Putnam","Ohio","J","Thomas","02-14-1844","local"
"New York City","New York","C B","Ray","02-14-1844","local"
"Troy","New York","U H","Garnett","02-14-1844","local"
"Utica","New York","T","Woodson","02-14-1844","local"
"Geneva","New York","J W","Duffin","02-14-1844","local"
"Rochester","New York","J","Sharp","02-14-1844","local"
"Batavia","New York","W","Johnson","02-14-1844","local"
"Brockport ","New York","A","Peck","02-14-1844","local"
"Lockport","New York","A","Oakly","02-14-1844","local"
"Buffalo","New York","W W","Brown","02-14-1844","local"
"Boston","Massachusetts","J T","Wilton","02-14-1844","local"
"Pittsburgh","Pennsylvania","J B","Vashon","02-14-1844","local"
"Madison ","Indiana","A","Duncan","02-14-1844","local"
"Indianapolis","Indiana","J G","Bretton","02-14-1844","local"
"Detroit","Michigan","R","Banks","02-14-1844","local"
"Piketon","Ohio","W","Evans","02-14-1844","local"
"Richmond,  Ross co","Ohio","C","Oston","02-14-1844","local"
"Cincinnati","Ohio","Rev C","Satchel","02-14-1844","traveling"
"Springfield","Ohio","Rev T","Roberts","02-14-1844","traveling"
"Zanesville","Ohio","Rev Geo","Coleman","02-14-1844","traveling"
"Sardinia","Ohio","Rev E","Cumberland","02-14-1844","traveling"
"Xenia","Ohio","Rev D","Winslow","02-14-1844","traveling"
"Logan County","Ohio","Rev M T","Nusum","02-14-1844","traveling"
"Hamilton","Ohio","Rev W C","Yancy","02-14-1844","traveling"
"Massillon","Ohio","Rev J","Thomas","02-14-1844","traveling"
"Columbus","Ohio","Rev W","Shelton","02-14-1844","traveling"
"Mt  Pleasant","Ohio","Rev W","Numan","02-14-1844","traveling"
"Jackson co","Ohio","Rev T","Woodson","02-14-1844","traveling"
"Cincinnati","Ohio","A M","Sumner","02-14-1844","local"
"Spring field","Ohio","R","Piles","02-14-1844","local"
"Urbana","Ohio","A","Kane","02-14-1844","local"
"Chillicothe","Ohio","James","Leach","02-14-1844","local"
"U Moody","Ohio","J","Burnett","02-14-1844","local"
"Lancaster","Ohio","N","Smith","02-14-1844","local"
"Zanesville","Ohio","H","Nusum","02-14-1844","local"
"Hillsboro","Ohio","N","Tailor","02-14-1844","local"
"Newark","Ohio","U","Robinson","02-14-1844","local"
"Cleveland","Ohio","J L","Watson","02-14-1844","local"
"Logan County","Ohio","sen K","Artisjr","02-14-1844","local"
"Gallipolis","Ohio","J","Gee","02-14-1844","local"
"Jackson","Ohio","T","Wooden","02-14-1844","local"
"Oberlin","Ohio","W P","Nunan","02-14-1844","local"
"New York City","New York","T S","Wright","02-14-1844","local"
"Utica","New York","J","Fountain","02-14-1844","local"
"Buffalo","New York","A H","Francis","02-14-1844","local"
"Detroit","Michigan","W C","Monroe","02-14-1844","local"
"Richmond,  Ross co","Ohio"," ",,"02-14-1844","local"
"Cincinnati","Ohio","Rev M M","Clark","02-14-1844","traveling"
"Sardinia","Ohio","Rev Fox",,"02-14-1844","traveling"
"Columbus","Ohio","Rev T ","Lawrence","02-14-1844","traveling"
"Cincinnati","Ohio","W M","Yancy","02-14-1844","local"
"Zanesville","Ohio","W","Gasaway","02-14-1844","local"
"Cleveland","Ohio","R D","Kenney","02-14-1844","local"
"Cincinnati","Ohio","W W","Watson","02-21-1844","local"
"Hamilton","Ohio","J","Simpson","02-21-1844","local"
"Dayton","Ohio","T","Jefferson","02-21-1844","local"
"Springfield","Ohio","W","Piles","02-21-1844","local"
"Urbana","Ohio","L","Adams","02-21-1844","local"
"Chillicothe","Ohio","R W","Chanceller","02-21-1844","local"
"U Moody","Ohio","C H","Langston","02-21-1844","local"
"Circleville","Ohio","W","Scott","02-21-1844","local"
"Lancaster","Ohio","S","Smith","02-21-1844","local"
"Zanesville","Ohio","B","Messer","02-21-1844","local"
"Hillsboro","Ohio","J","Tailor","02-21-1844","local"
"Steubenville","Ohio","W","Ferris","02-21-1844","local"
"Newark","Ohio","W","Jenkins","02-21-1844","local"
"Cleveland","Ohio","J","Malvin","02-21-1844","local"
"Dublin","Ohio","S","White Jr","02-21-1844","local"
"Xenia","Ohio","W","Roberts","02-21-1844","local"
"Logan County","Ohio","K","Artis","02-21-1844","local"
"Mt Vernon","Ohio","O","Martin","02-21-1844","local"
"Trenton","Ohio","J","Simpson","02-21-1844","local"
"Mt Pleasant","Ohio","Elijah","Sawyer","02-21-1844","local"
