LOCAL AGENTS,Date,Agent
"Cincinnati,OH,W W,Watson,A M,Sumner,W M,Yancy",02-21-1844,local
"Hamilton,OH,J,Simpson",02-21-1844,local
"Dayton, OH,T,Jefferson",02-21-1844,local
"Springfield,oh,W,Piles,R,Piles",02-21-1844,local
"Urbana,OH,L,Adams,A,Kane.",02-21-1844,local
"Chillicothe,OH,R W,Chanceller,James,Leach",02-21-1844,local
"U Moody,OH,C H,Langston,J,Burnett",02-21-1844,local
"Circleville,OH,W,Scott",02-21-1844,local
"Lancaster,OH,S,Smith,N,Smith",02-21-1844,local
"Zancsville,OH,B,Messer,H Nusum,W Gasaway",02-21-1844,local
"Hillshoro,OH,J, Tailor, N, Tailor",02-21-1844,local
"Steubenville,oh, W, Ferris",02-21-1844,local
"Newark,oh,W, Jenkins,H Robinson",02-21-1844,local
"Cleveland,oh,J, Malvin, J L, Watson, R D, Kenney",02-21-1844,local
"Dublin,oh,S, White Jr",02-21-1844,local
"Xenia,oh,W, Roberts.",02-21-1844,local
"Logan County,oh,K, Artis,Sen. K, Artis Jr",02-21-1844,local
"Mt. Veron, oh, O, Martin",02-21-1844,local
"Trenton,oh,J, Simpson",02-21-1844,local
"Mt. Pleasant,oh,Elijah, Sawyer",02-21-1844,local
"Warren,oh,A, Moore",02-21-1844,local
"Gallipolis,oh,H, Bell, J, Gee",02-21-1844,local
"Jackson,oh,N, Nukes, T, Woodson",02-21-1844,local
"Lebanon,oh,T, Benford",02-21-1844,local
"Massillon,oh,J, Thompson",02-21-1844,local
"Barnesville,oh,A, Harper",02-21-1844,local
"Oberlin,oh,A, Jones, W P, Newman",02-21-1844,local
"Lower Sandusky,oh,A Winfield",02-21-1844,local
"Lockburne,E C, Tyner",02-21-1844,local
"Morgan County,oh,Lloyd E, Guy",02-21-1844,local
"Putnum,oh,J, Thomas,",02-21-1844,local
"New York City,C B Ray, TS Wright.",02-21-1844,local
"Troy, N Y,H H Garnett.",02-21-1844,local
"Utica, N YY,T’ Woodson, J Fontain,",02-21-1844,local
"Geneva, N Y,J W Duffin.",02-21-1844,local
"Rochester N Y,J Sharp.",02-21-1844,local
"Batavia N Y,W Johnson.",02-21-1844,local
"Brockport N Y,A Peck,",02-21-1844,local
"Lockport, N Y,A Outley. s",02-21-1844,local
"Buffalo, N Y,W W Brown, A I Francis.",02-21-1844,local
"Boston, Mass.,J T Wilton.",02-21-1844,local
"Pittsburgh, Pa.,J B Vashon.",02-21-1844,local
"Madison Ia.,A Duncan.",02-21-1844,local
"Indianopolis, Ia.,J G Bretton.",02-21-1844,local
"Detroit, Mich.,R Banks, W C Monroe.",02-21-1844,local
"Piketon,W Evans,",02-21-1844,local
"Richmond, Ross co.,C Oston, .",02-21-1844,local
"Sharonville,D Lucus, C Smith, W Polson:",02-21-1844,local
"Cincinnati, Rev. C, Satchel, Rev. M. M_Clatk.",02-21-1844,traveling
Springfield. Kev. T. Roberts.,02-21-1844,traveling
"Zanesville, Rev. Geo. Coleman.",02-21-1844,traveling
"Wardina, Rev. E. Cumberland, Rev. Tox.",02-21-1844,traveling
"Xenia. Rev. D. Winslow,",02-21-1844,traveling
"Logan ce, Rev. M T. Nusum,",02-21-1844,traveling
Humiltgn. Rev. W. C Yancy.,02-21-1844,traveling
Massillon. Rev. J. Thomas.,02-21-1844,traveling
"Columbus. Rev. W, Shelton, Rev. T. Lawrence.",02-21-1844,traveling
"Mt, Pleasant, Rev. W..Numan. we",02-21-1844,traveling
"Jackson co, Rey. 'T’. Woodson.",02-21-1844,traveling
"Cincinnati—W W Watson, A M Sumner,W M Yancy.",02-28-1844,local
"Hamilton, Butler co.—J Simpson.",02-28-1844,local
"Dayton, O..—T. Jefferson,",02-28-1844,local
"Spring ficld=—-\W. Piles, R. Piles.",02-28-1844,local
"Urbana~—L Adams, A Kane.",02-28-1844,local
"Chillicothe—lKk W Chanceller, James Leach,",02-28-1844,local
"U Moody, C H Langston, J Burnett.",02-28-1844,local
Circleville—W Scott. —,02-28-1844,local
Eancaster-—-S Smith N Smith.,02-28-1844,local
"Zanesville—B Messer, LL Nusum, W Gasaway.",02-28-1844,local
"Hillsboro—J Tailor, N ‘Tailor.",02-28-1844,local
Steubenville—W Ferris.,02-28-1844,local
"Newark—W Jenkins, H Robinson,",02-28-1844,local
"Clevelund—J Malvin, J L Watson, R D Kenney.",02-28-1844,local
"Dublin—S White, jr.",02-28-1844,local
Xenia--W Roberts.,02-28-1844,local
