Periodical,Location,Ethnic Periodical,lon,lat
Milwaukee Sentinel,"Milwaukee, WI ",,-87.9735,43.0115
Yenowines News,"Milwaukee, WI ",,-87.9735,43.0115
San Francisco Wasp,"San Franciso, CA",,-122.463,37.7648
New York Herald,"Manhattan, NY",,-73.9597,40.7903
Chicago Tribune,"Chicago, IL",,-87.6244,41.8756
New York Weekly,"New York, NY",,-73.9808,40.7648
Chatter,"New York, NY",,-73.9808,40.7648
Boston Transcript,"Boston, MA",,-71.0596,42.3605
West Shore,"Portland, OR",,-122.6742,45.5202
Texas Siftings,"Austin, TX",,-97.7437,30.2711
Leeds Mercury,"Leeds, West Yorkshire, England",,-1.54917,53.79972
Judge,"New York, NY",,-73.9808,40.7648
Baltimore American,"Baltimore, MD",,-76.6108,39.2909
Binghamton Leader,"Binghamton, NY",,-75.9143,42.097
Boston Courier,"Boston, MA",,-71.0596,42.3605
Evening Herald,"Trenton, TN",,-88.9415,35.9806
Chicago News,"Chicago, IL",,-87.6244,41.8756
