"city","state","firstName","lastName","pubDate"
"Dayton"," Ohio","T","Jefferson","12-27-1843"
"Springfield"," Ohio","Wm","Piles","12-27-1843"
"Urbana"," Ohio","L","Adams","12-27-1843"
"Chillicothe"," Ohio","R  W","Chancellor","12-27-1843"
"Hillsboro"," Ohio","J","Tailor","12-27-1843"
"Steubenville"," Ohio","Wm","Ferris","12-27-1843"
"Newark"," Ohio","W","Jenkins","12-27-1843"
"Cleveland"," Ohio","J","Malvin","12-27-1843"
"Dublin"," Ohio","S","White Jr","12-27-1843"
"Xenia"," Ohio","W","Roberts","12-27-1843"
"Logan county"," Ohio","R","Antis","12-27-1843"
"Mt. Vernon"," Ohio","O","Martin","12-27-1843"
"Trenton"," Ohio","Jas","Simpson","12-27-1843"
"Mt. Pleasant"," Ohio","Elijah ","Sawyer","12-27-1843"
"Warren"," Ohio","A","Moore","12-27-1843"
"Gallipolis"," Ohio","H","Bell","12-27-1843"
"Jackson"," Ohio","N ","Nukes","12-27-1843"
"Lebanon"," Ohio","T","Benford","12-27-1843"
"Massillon"," Ohio","Jas","Thompson","12-27-1843"
"Barnesville"," Ohio","A","Harper","12-27-1843"
"Oberlin"," Ohio","A","Jones","12-27-1843"
"Lower Sandusky"," Ohio","A","Winfield","12-27-1843"
"Lockburne"," Ohio","E C","Tyner","12-27-1843"
"Morgan county"," Ohio","Lloyd E","Guy","12-27-1843"
"Putnam"," Ohio","J","Thomas","12-27-1843"
"New York City"," Ohio","Chris B","Ray","12-27-1843"
"Troy","New York","H H","Garnett","12-27-1843"
"Utica","New York","T","Woodson","12-27-1843"
"Geneva","New York","J W","Duffin","12-27-1843"
"Rochester","New York","James","Sharp","12-27-1843"
"Batavia","New York","Wm","Johnson","12-27-1843"
"Brockport","New York","A","Peck","12-27-1843"
"Lockport","New York","A","Outley","12-27-1843"
"Buffalo","New York","W W","Brown","12-27-1843"
"Boston","Massachusetts","J T","Hilton","12-27-1843"
"Pittsburg","Pennsylvania","J  B","Vashon","12-27-1843"
"Madison","Iowa","A ","Duncan","12-27-1843"
"Indianopolis","Indiana","J G","Bretton","12-27-1843"
"Detroit","Michigan","R","Banks","12-27-1843"
"Cincinnati"," Ohio","Rev C","Satchel","12-27-1843"
"Springfield"," Ohio","Rev T","Roberts","12-27-1843"
"Zanesville"," Ohio","Rev Geo","Coleman","12-27-1843"
"Sardina"," Ohio","Rev E","Cumberland","12-27-1843"
"Xenia"," Ohio","Rev D","Winslow","12-27-1843"
"Logan county"," Ohio","Rev M T","Nusum","12-27-1843"
"Hamilton"," Ohio","Rev Wm","Yancy","12-27-1843"
"Massilon"," Ohio","Rev J","Thomas","12-27-1843"
"Columbus"," Ohio","Rev W","Shelton","12-27-1843"
"Mt. Pleasant"," Ohio","Rev Wm","Numan","12-27-1843"
"Jackson county"," Ohio","Rev T","Woodson","12-27-1843"
"Springfield"," Ohio","R","Piles","12-27-1843"
"Urbana"," Ohio","A","Kane","12-27-1843"
"Chillicothe"," Ohio","U","Moody","12-27-1843"
"Hillsboro"," Ohio","N","Tailor","12-27-1843"
"Newark"," Ohio","H","Robinson","12-27-1843"
"Cleveland"," Ohio","J L","Watson","12-27-1843"
"Gallipolis"," Ohio","J Gee",,"12-27-1843"
"Oberlin"," Ohio","Wm","Numan","12-27-1843"
"New York City"," Ohio","T  S","Wright","12-27-1843"
"Utica","New York","James ","Fontain","12-27-1843"
"Buffalo","New York","A H","Francis","12-27-1843"
"Indianopolis","Indiana"," ",,"12-27-1843"
"Detroit","Michigan","W C","Monroe","12-27-1843"
"Cincinnati"," Ohio","Rev M M","Clark","12-27-1843"
"Sardina"," Ohio","Rev","Fox","12-27-1843"
"Logan county"," Ohio",,"Nusum","12-27-1843"
"Columbus"," Ohio","Rev T","Lawrance","12-27-1843"
