"City","State","Firstname","Lastname","pubDate"
"Cincinnati","Ohio"," W W ","Watson","02-14-1844"
"Hamilton,  Butler co","Ohio"," J ","Simpson","02-14-1844"
"Dayton","Ohio"," T ","Jefferson","02-14-1844"
"Spring field","Ohio"," W ","Piles","02-14-1844"
"Urbana","Ohio"," L ","Adams","02-14-1844"
"Chillicothe","Ohio","W","Chanceller","02-14-1844"
"U Moody","Ohio","CH","Langston","02-14-1844"
"Circleville","Ohio","W","Scott","02-14-1844"
"Lancaster","Ohio","S","Smith","02-14-1844"
"Zanesville","Ohio","B","Messer","02-14-1844"
"Hillsboro","Ohio","J","Tailor","02-14-1844"
"Steubenville","Ohio","W","Ferris","02-14-1844"
"Newark","Ohio","W","Jenkins","02-14-1844"
"Cleveland","Ohio","J","Malvin","02-14-1844"
"Dublin","Ohio","S","Whitejr","02-14-1844"
"Xenia","Ohio","W","Roberts","02-14-1844"
"Logan County","Ohio","K","Artis","02-14-1844"
"Mt Vernon","Ohio","O","Martin","02-14-1844"
"Trenton Jefferson co","Ohio","J","Simpson","02-14-1844"
"Me Pleasant","Ohio","Elijah","Sawyer","02-14-1844"
"Warren","Ohio","A","Moore","02-14-1844"
"Gallipolis","Ohio","H","Bell","02-14-1844"
"Jackson","Ohio","N","Nukes","02-14-1844"
"Lebanon","Ohio","T","Benford","02-14-1844"
"Massillon","Ohio","B","Thompson","02-14-1844"
"Barnesville","Ohio","A","Harper","02-14-1844"
"Oberlin","Ohio","A","Jones","02-14-1844"
"Lower Sandusky","Ohio","A","Winfield","02-14-1844"
"Lockburne","Ohio","E C","Tyner","02-14-1844"
"Morgan county","Ohio","Lloyd E","Guy","02-14-1844"
"Putnum","Ohio","J","Thomas","02-14-1844"
"New York City","New York","C B","Ray","02-14-1844"
"Troy","New York","U H","Garnett","02-14-1844"
"Utica","New York","T","Woodson","02-14-1844"
"Geneva","New York","J W","Duffin","02-14-1844"
"Rochester","New York","J","Sharp","02-14-1844"
"Batavia","New York","W","Johnson","02-14-1844"
"Brockport ","New York","A","Peck","02-14-1844"
"Lockport","New York","A","Oakly","02-14-1844"
"Buffalo","New York","W W","Brown","02-14-1844"
"Boston","Massachusetts","J T","Wilton","02-14-1844"
"Pittsburgh","Pennsylvania","J B","Vashon","02-14-1844"
"Madison ","Indiana","A","Duncan","02-14-1844"
"Indianapolis","Indiana","J G","Bretton","02-14-1844"
"Detroit","Michigan","R","Banks","02-14-1844"
"Piketon","Ohio","W","Evans","02-14-1844"
"Richmond,  Ross co","Ohio","C","Oston","02-14-1844"
"Cincinnati","Ohio","Rev C","Satchel","02-14-1844"
"Springfield","Ohio","Rev T","Roberts","02-14-1844"
"Zanesville","Ohio","Rev Geo","Coleman","02-14-1844"
"Sardina","Ohio","Rev E","Cumberland","02-14-1844"
"Xenia","Ohio","Rev D","Winslow","02-14-1844"
"Logan County","Ohio","Rev M T","Nusum","02-14-1844"
"Hamilton","Ohio","Rev W C","Yancy","02-14-1844"
"Massillon","Ohio","Rev J","Thomas","02-14-1844"
"Columbus","Ohio","Rev W","Shelton","02-14-1844"
"Mt  Pleasant","Ohio","Rev W","Numan","02-14-1844"
"Jackson co","Ohio","Rev T","Woodson","02-14-1844"
"Cincinnati","Ohio","A M","Simter","02-14-1844"
"Spring field","Ohio","R","Piles","02-14-1844"
"Urbana","Ohio","A","Kane","02-14-1844"
"Chillicothe","Ohio","James","Leach","02-14-1844"
"U Moody","Ohio","J","Burnett","02-14-1844"
"Lancaster","Ohio","N","Smith","02-14-1844"
"Zanesville","Ohio","H","Nusum","02-14-1844"
"Hillsboro","Ohio","N","Tailor","02-14-1844"
"Newark","Ohio","U","Robinson","02-14-1844"
"Cleveland","Ohio","J L","Watson","02-14-1844"
"Logan County","Ohio","sen K","Artisjr","02-14-1844"
"Gallipolis","Ohio","J","Gee","02-14-1844"
"Jackson","Ohio","T","Wooden","02-14-1844"
"Oberlin","Ohio","W P","Nunan","02-14-1844"
"New York City","New York","T S","Wright","02-14-1844"
"Utica","New York","J","Fountain","02-14-1844"
"Buffalo","New York","A H","Francis","02-14-1844"
"Detroit","Michigan","W C","Monroe","02-14-1844"
"Richmond,  Ross co","Ohio"," ",,"02-14-1844"
"Cincinnati","Ohio","Rev M M","Clark","02-14-1844"
"Sardina","Ohio","Rev Fox",,"02-14-1844"
"Columbus","Ohio","Rev T Lawrence",,"02-14-1844"
"Cincinnati","Ohio","W M","Yanev","02-14-1844"
"Zanesville","Ohio","W","Gasaway","02-14-1844"
"Cleveland","Ohio","R D","Kenney","02-14-1844"
