"Issue#","Date","Page","ImageName","agents","receipt","poetry","ads","classifieds"
1,"12-27-1843",1,25875,"n","n","n","n","n"
1,"12-27-1843",2,25876,"n","n","n","n","n"
1,"12-27-1843",3,25876,"y","n","y","n","n"
3,"02-14-1844",1,25879,"n","n","n","n","n"
3,"02-14-1844",2,25880,"n","n","n","n","n"
3,"02-14-1844",3,25880,"n","n","n","n","n"
3,"02-14-1844",4,25881,"y","n","n","n","n"
4,"02-21-1844",1,25883,"n","n","n","n","n"
4,"02-21-1844",2,25884,"n","n","n","n","n"
4,"02-21-1844",3,25884,"n","n","n","n","n"
4,"02-21-1844",4,25885,"y","n","y","y","y"
5,"02-28-1844",1,25877,"n","n","n","n","n"
5,"02-28-1844",2,25888,"n","n","n","n","n"
5,"02-28-1844",3,25888,"n","n","n","n","n"
5,"02-28-1844",4,25889,"y","n","y","n","y"
8,"03-20-1844",1,25891,"n","n","n","n","n"
8,"03-20-1844",2,25892,"n","n","n","n","n"
8,"03-20-1844",3,25892,"n","n","y","n","n"
8,"03-20-1844",4,25893,"y","n","n","y","y"
9,"03-27-1844",1,25895,"n","n","n","n","n"
9,"03-27-1844",2,25896,"n","n","y","n","n"
9,"03-27-1844",3,25896,"n","n","n","n","n"
9,"03-27-1844",4,25897,"y","n","y","y","y"
10,"04-03-1844",1,25899,"n","n","n","n","n"
10,"04-03-1844",2,25900,"n","n","n","n","n"
10,"04-03-1844",3,25900,"n","y","n","n","y"
12,"04-17-1844",1,25909,"n","n","n","n","n"
12,"04-17-1844",2,25910,"n","n","n","n","n"
12,"04-17-1844",3,25910,"n","n","n","n","y"
12,"04-17-1844",4,25911,"y","n","n","n","y"
13,"04-24-1844",1,25913,"n","n","y","n","y"
13,"04-24-1844",2,25914,"n","n","n","n","n"
13,"04-24-1844",3,25915,"n","n","n","n","n"
13,"04-24-1844",4,25916,"y","n","n","n","y"
14,"05-01-1844",1,25918,"n","n","n","n","n"
14,"05-01-1844",2,25919,"n","n","n","n","n"
14,"05-01-1844",3,25919,"n","n","y","n","y"
14,"05-01-1844",4,25920,"y","n","n","n","y"
15,"05-08-1844",1,25922,"n","n","n","n","n"
15,"05-08-1844",2,25923,"n","n","n","n","y"
15,"05-08-1844",3,25923,"n","y","n","n","n"
15,"05-08-1844",4,25924,"y","n","n","n","y"
16,"05-15-1844",1,25926,"n","n","n","n","y"
16,"05-15-1844",2,25927,"n","n","y","n","y"
